"Description","StartDate","EndDate","Latitude","Longitude","Tags","SubmittedDate"
"Fairley Road (TrafficOrderNumber:2016/193/TL)  : Temporary traffic signals for use during BT works south of the junction with Edmond Place.  Operational 0730-1700 each day.. ","2016-07-18 07:30","2016-07-22 17:00","57.1496997434249680","-2.2180625711113908","RoadWorks","2016-06-28 14:52:05  "
"North Deeside Road (TrafficOrderNumber:5559)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order is to impose a temporary prohibition of driving Pitfodels Station Road, Aberdeen, between its junction with North Deeside Road and a point 15 metres in a southerly direction from 09:30 until 15:30 on 25 July, 2016.  The measure is necessary to protect public safety during ironwork repairs being carried out by Scottish Water.  Temporary traffic signals will be in use on the day at the junction with Pitfodels Station Road from 0930-1530.. An alternative route is available via Inchgarth Road, Westerton Road and North Deeside Road.","2016-07-25 09:30","2016-07-25 15:30","57.1219077342317690","-2.1569584283851744","Road Closed","2016-06-28 14:36:23  "
"Schoolhill (TrafficOrderNumber:5573)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 19:00 in the evening until 06:00 in the following morning. In evenings beginning 4, 5, 6, 18, 19, 20 of July, 2016  is to impose a temporary prohibition of driving on Schoolhill, Aberdeen, between its junctions between its junctions with Blackfriars Street and Belmont Street.  The measure is necessary to protect public safety during lifting operations for the Art Gallery Refurbishment works.. An alternative route is available via Blackfriars Street, St Andrews Street, Charlotte Street, John Street, Loch Street, Berry Street, Gallowgate and Schoolhill.","2016-07-04 19:00","2016-07-21 06:00","57.1657829076408250","-2.1029276094272178","Road Closed","2016-06-28 13:18:03  "
"Murray Terrace (TrafficOrderNumber:5598)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of this order is to close Murray Terrace, Aberdeen, between its junctions with Polmuir Road and Bright Street  from 07:30 until 23:00, on 4 July, 2016. Also from 07:30 on 4 July, 2016, until 17:00 on 24 July, 2016, is to impose a temporary prohibition of waiting for any purpose, on either side of Murray Terrace, Aberdeen, between its junction with Polmuir Road and the east boundary of 25 Murray Terrace, and on either side of Bright Street, Aberdeen, between its junction with Murray Terrace and the south boundary of 32 Bright Street.  The measure is necessary to protect public safety during footway works by ACC.. ","2016-07-04 07:30","2016-07-24 17:00","57.1331738073423740","-2.1038611221850791","Road Closed","2016-06-28 13:09:30  "
"Third Don Crossing road (TrafficOrderNumber:2016/197/TL)  : Temporary traffic signals for use by Balfour Beatty during the construction of safety barrier installation at the Third Don Crossing, on a new road north of Grandholm Drive.  Operational 0930-1530 each day.. ","2016-07-06 09:30","2016-07-08 15:30","57.1788700125986010","-2.1240035225883136","RoadWorks","2016-06-28 12:11:05  "
"Watson Street (TrafficOrderNumber:5592)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:30 on 4 July, 2016, until 24:00 on 24 July, 2016, is to impose a temporary prohibition of waiting on west side of Watson Street, Aberdeen, between its junction with Loanhead Place and east entrance to Victoria Park. The measure is necessary to protect public safety during ACC drainage works.. ","2016-07-04 07:30","2016-07-24 23:59","57.1523033722092180","-2.1187905811585033","RoadWorks","2016-06-27 15:57:19  "
"Summerfield Terrace (TrafficOrderNumber:5568)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:30 on 4 July, 2016, until 24:00 on 8 July, 2016, is to impose a temporary prohibition of waiting, for any purpose, on either side of Summerfield Terrace, Aberdeen, between the west boundary of 15 Summerfield Terrace and the east boundary of 17 Summerfield Terrace. The measure is necessary to protect public safety during SSE   works.. ","2016-07-04 07:30","2016-07-08 23:59","57.1516601588428090","-2.0933349350925936","RoadWorks","2016-06-27 15:47:19  "
"Forest Avenue (TrafficOrderNumber:2016/191/TL)  : Temporary traffic signals for use during Scottish Water ironworks repairs at the junction with Annfield Terrace.  Operational 0930-1530.  There will be a temporary prohibition of waiting which will operate from 08:00 until 15:30 on 6 July, 2016, on the west side of Forest Avenue, Aberdeen, between its junction with Forest Avenue Lane and the southern boundary of number 35 Forest Avenue, and on the east side of Forest Avenue, Aberdeen, between its junction with Forest Avenue Lane and the southern boundary of number 34 Forest Avenue.  Also on either side of Annfield Terrace, Aberdeen, between its junction with Forest Avenue and the western boundary of number 4 Annfield Terrace.. ","2016-07-06 08:00","2016-07-06 15:30","57.1357122353398740","-2.1274274699501836","RoadWorks","2016-06-27 11:04:57  "
"Union Grove (TrafficOrderNumber:2016/190/TL)  : Temporary traffic signals for use during Scottish Water ironworks repairs 230m west of the junction with Holburn Street.  Operational 0930-1530.  There will be a temporary prohibition of waiting on Union Grove, Aberdeen, between the western boundary of number 90 Union Grove and the eastern boundary of number 64 Union Grove from 0800 till 1530.. ","2016-07-06 08:00","2016-07-06 15:30","57.1417865839909140","-2.1163112768840038","RoadWorks","2016-06-27 10:31:21  "
"Hammerfield Avenue (TrafficOrderNumber:5561)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 08.00 on 20 July, 2016, until 18:00 on 21 July, 2016, is to impose a temporary prohibition of waiting on the north east side of Hammerfield Avenue, Aberdeen, from the boundary between numbers 81 and 83 Hammerfield Avenue to the boundary between numbers 91 and 93 Hammerfield Avenue.   The measure is necessary to protect public safety during works being carried out by British Telecom.. ","2016-07-20 08:00","2016-07-21 18:00","57.1300052095025350","-2.1301499227265217","RoadWorks","2016-06-23 16:22:30  "
"U53C Chapel of Stoneywood to Newton-Kirkhill Road (TrafficOrderNumber:2016/188/TL)  : Temporary traffic signals for use during AWPR works, 250m north of the junction with the A96 Inverurie Road.  Operational 0930-1530 each day.. ","2016-07-04 09:30","2016-07-08 15:30","57.1949747859122230","-2.2227643965414190","RoadWorks","2016-06-23 15:02:31  "
"Froghall Road (TrafficOrderNumber:5589)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:00 until 24:00 on 21 June, 2016, from 07:00 until 24:00 on 23 June, 2016, from 07:00 until 24:00 on 29 June, 2016,  from 07:00 until 24:00 on 30 June, 2016 and  from 07:00 until 24:00 on 25 July, 2016, is to impose a temporary prohibition of driving on Froghall Road, Aberdeen, between west boundary of 29 Froghall Road and the south gable of 41 Froghall Road. There will be no waiting on the same stretch of road.  The measure is necessary to protect public safety during lifting operations for a new developement.. An alternative route is available via Froghall Road, and Froghall Terrace.","2016-06-21 07:00","2016-07-25 23:59","57.1572593981595600","-2.1012673263796482","Road Closed","2016-06-23 13:42:22  "
"Countesswells Road (TrafficOrderNumber:2016/186/TL)  : Temporary traffic signals for use during electrical cable installation works, 400m to the west of the junction with Springfield Road.  Operational 24 hours/day.. ","2016-07-04 09:00","2016-07-31 16:00","57.1307283196530950","-2.1575739736526845","RoadWorks","2016-06-23 12:40:19  "
"Oldmeldrum Road, Bucksburn and Malcolm Road Bucksburn (TrafficOrderNumber:5572)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:00 on 24 June, 2016, until 23:00 on 29 July, 2016, is to impose a one-way restriction on Oldmeldrum Road, Bucksburn, Aberdeen, between its junctions with Station Road and Malcolm Road, The permitted direction of travel will be north-westbound only.  Also, Malcolm  Road, Bucksburn, Aberdeen, will be closed, between its junctions with Oldmeldrum Road, Bucksburn, and the west boundary of number 6 Malcolm Road, Bucksburn, Aberdeen. There will be no waiting, for any purpose, on either side of Oldmeldrum Road, Bucksburn, Aberdeen, between the south boundary of number 36 Oldmeldrum Road, Bucksburn, and the south boundary of number 39 Oldmeldrum Road, Bucksburn. Also on Malcolm Road, Bucksburn, Aberdeen, between its junction with Oldmeldrum Road and the east boundary of number 12 Malcolm Road, Bucksburn. The restrictions are in the interests of public safety during demolition of a fire damaged building.. An alternative route for eastbound vehicles is available via Auchmill Road, and Mugiemoss Road.","2016-06-23 12:10","2016-07-29 23:00","57.1784102741375480","-2.1711913089302861","RoadWorks","2016-06-23 12:03:30  "
"Market Street, Stoneywood (TrafficOrderNumber:5591)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 08:00 on 4 July, 2016, until 18:00 on 9 July, 2016, is to impose a temporary prohibition of waiting on Market Street, Stoneywood, Aberdeen, from the boundary between numbers 88 and 90 Market Street and the boundary between numbers 92 and 94 Market Street.  The measure is necessary to protect public safety during sewer repair works being carried out by Scottish Water.. ","2016-07-04 08:00","2016-07-09 18:00","57.1907698997188800","-2.1845348232745656","RoadWorks","2016-06-21 10:39:01  "
"Dyce Drive (TrafficOrderNumber:2016/131/TL)  : Temporary traffic signals for use during SSE works 250metres south-east of the junction with Dyce Avenue, and proceeding clockwise as the works progress. Operation will be from 1900 to 0600 each night. ","2016-05-03 19:00","2016-08-23 06:00","57.2072082920712860","-2.2131545629234308","RoadWorks","2016-06-20 14:51:32  "
"North Deeside Road, Milltimber (TrafficOrderNumber:2016/183/TL)  : Temporary traffic signals for use during Scottish Water ironworks repairs, 100m west of the junction with Binghill Road and Beaconhill Road.  Operational overnight from 1900 till 0630 the following morning.. ","2016-07-07 19:00","2016-07-08 06:30","57.1066577112908290","-2.2255022947339742","RoadWorks","2016-06-20 12:27:59  "
"Netherkirkgate (TrafficOrderNumber:5327)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 00:01 on 19 January, 2015, until 00:01 on 17 July, 2016, is to impose a temporary prohibition of driving on Netherkirkgate, Aberdeen, between its junctions with St. Catherine’s Wynd and Broad Street.  Access to properties will be maintained, but no through traffic will be possible.  The measure is necessary to protect public safety during Building refurbishment works.. An alternative route is available via St. Catherine’s Wynd, Union Street and Broad Street.","2016-01-19 00:01","2016-07-17 00:01","57.1478314837937730","-2.0958703635010636","RoadWorks","2016-06-20 09:13:50  "
"Abbotswell Crescent (TrafficOrderNumber:5543)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 05:00 on 4 July, 2016, until 17:00 on 10 July, 2016, is to impose a temporary prohibition of driving on Abbotswell Crescent, Aberdeen, between its junction with Redmoss Road and the Wellington Hotel.  There will also be a prohibition of waiting on the same stretch of road between 08:00 and 17:00 daily.  The measures are necessary to protect public safety during carriageway resurfacing works.. ","2016-07-04 05:00","2016-07-10 17:00","57.1167997390637300","-2.0895976894245378","Road Closed","2016-06-17 14:49:55  "
"Tarves Road (TrafficOrderNumber:2016/179/TL)  : Temporary traffic signals for use during AWPR works to the north of the junction with the Newton of Shielhill Road.  Operational 0930-1530 each day.. ","2016-06-21 09:30","2016-07-08 15:30","57.2217243206560230","-2.0971553703192556","RoadWorks","2016-06-15 11:33:12  "
"North Deeside Road (TrafficOrderNumber:2016/177/TL)  : Temporary traffic signals for use during AWPR works at the new B979 Milltimber Brae junction.  Operational 24 hours.. ","2016-07-04 06:00","2016-07-15 06:00","57.1019895661169630","-2.2430860641230090","RoadWorks","2016-06-15 11:13:53  "
"North Deeside Road (TrafficOrderNumber:2016/174/TL)  : Temporary traffic signals for use during repairs to the Culter Burn Bridge (Rob Roy Bridge).  Operational 24 hours.. ","2016-06-27 09:00","2016-12-27 16:00","57.0981013950540090","-2.2729007529950280","RoadWorks","2016-06-10 15:36:27  "
"Westburn Road, Camperdown Road (TrafficOrderNumber:5498)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 09:00 until 18:00 on 24 July, 2016, is to impose a temporary one-way restriction on Westburn Road, Aberdeen, between its junctions with Roseberry Street and Camperdown Road.  The permitted direction of travel will be eastbound only.  There will also be a temporary one-way restriction on Camperdown Road, Aberdeen, between its junction with Westburn Road and the northern gable of number 35 Camperdown Road.  The permitted direction of travel will be southbound only.  The measures are necessary to protect public safety during ironwork repairs being carried out by Scottish Water.. An alternative route for Westburn Road is available via Argyll Place, Beechgrove Terrace, King’s Gate, and the A90 North Anderson Drive.","2016-07-24 09:00","2016-07-24 18:00","57.1521722019781530","-2.1331203970257606","RoadWorks","2016-06-09 10:54:55  "
"Old Ford Road (TrafficOrderNumber:5514)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 23:30 on 13 June, 2016, until 23:00 on 24 July, 2016, is to impose a temporary prohibition of driving on Old Ford Road and Palmerston Place, Aberdeen, between its junction with  Freedom House car park Entrance Road and junction with Palmerston Place. There will also be a suspension of parking on the same stretch of road. And on the east side of Palmerston Road, Aberdeen, between its junctions with Old Ford Road and Palmerston Place. The existing one way Restrictions on Palmerston Road, Aberdeen, between its junctions with Old Ford Road and Palmerston Place, and also Old Ford Road, Aberdeen, and Palmerston Place, Aberdeen, will be suspended for the duration of this order. The measure is necessary to protect public safety during Building maintenance works.. An alternative route is via Palmerston Road.","2016-06-13 23:30","2016-07-24 23:00","57.1392795150385450","-2.0960464672541286","Road Closed","2016-06-08 16:34:24  "
"Kirk Brae (TrafficOrderNumber:5554)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:30 on 13 June, 2016, until 18:00 on 12 December, 2016, is to impose a temporary 40mph speed restriction on the C128C Kirk Brae, Aberdeen, between a point 125 metres north west of its junction with Ladyhill Road and the existing 40mph speed restriction 420 metres east of its junction with Ladyhill Road.  The measure is necessary to protect public safety during construction works.. ","2016-06-13 07:30","2016-12-12 18:00","57.1240154414783920","-2.2030635283315525","RoadWorks","2016-06-07 14:54:56  "
"Murray Terrace, Bright Street (TrafficOrderNumber:5445)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:30 on 13 June, 2016, until 17:00 on 10 July, 2016, is to impose a temporary prohibition of waiting for any purpose, on either side of Murray Terrace, Aberdeen, between its junction with Polmuir Road and the east boundary of 25 Murray Terrace.  Also, on either side of Bright Street, Aberdeen, between its junction with Murray Terrace and the south boundary of 32 Bright Street.  The measure is necessary to protect public safety during footway works by ACC.. ","2016-06-13 07:30","2016-07-10 17:00","57.1331647695666550","-2.1039271770396346","RoadWorks","2016-06-06 12:09:44  "
"Contlaw Road (TrafficOrderNumber:5375)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order is to impose a temporary prohibition of driving on Contlaw Road, Aberdeen, between Contlaw House and Ardlair, from 00:00, from 28 May, 2016, until 24:00 on 29 August, 2016.  There will also be a temporary 7.5 Tonne weight restriction between its junctions with Colthill Road and Ardlair until 29 August, 2016.  The measure is necessary to protect public safety during urgent carriageway reconstruction works.. An alternative route is available via Culter House Road.","2016-05-28 00:00","2016-08-29 23:59","57.1153333108993730","-2.2591077861088640","Road Closed","2016-05-31 14:38:36  "
"Links Place (TrafficOrderNumber:5507)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:30 on 6 June, 2016, until 23:00 on 24 July, 2016, is to impose a temporary prohibition of driving on  Links Place, Aberdeen, between its junctions with Wellington Street and Garvock Wynd. There will be no waiting on either side of the same stretch of road. Also there will be a temporary prohibition of driving on Wellington Street, Aberdeen, between its junctions with Links Road and York Street. There will be no waiting on either side of the same stretch of road. And also there will be a temporary prohibition of driving on Garvock Wynd. Aberdeen, between its junctions with Miller Street and Links Place. There will be no waiting on either side of the same stretch of road.   Access to properties will be maintained, but no through traffic will be possible.  The measure is necessary to protect public safety during SGN gas mains renewal works.. An alternative route is available via York Street, Esplanade and Links Road.","2016-06-06 07:30","2016-07-24 23:00","57.1479772083445000","-2.0802365275658166","Road Closed","2016-05-25 16:41:01  "
"Smithfield Drive (TrafficOrderNumber:5509e)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic     Regulation Act 1984. There will be a prohibition of driving on Smithfield Drive, Aberdeen, between its junctions with     Provost Rust Drive and Provost Rust Drive inset road, from 07:30 on 2 July, 2016, until 22:00 on 3 July, 2016, and     from 07:30 on 9 July, 2016, until 22:00 on 10 July, 2016.    The measures are necessary to protect public safety during heating installation works for Aberdeen City Council.. An alternative route is available via Smithfield Drive, Clarke Street, Newton Road, Fowler Avenue, and Provost Rust     Drive inset road.","2016-07-02 07:30","2016-07-10 22:00","57.1653244822088380","-2.1402940729080657","Road Closed","2016-05-25 16:29:41  "
"Links Place (TrafficOrderNumber:5507)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 07:30 on 6 June, 2016, until 23:00 on 24 July, 2016, is to impose a temporary prohibition of driving on  Links Place, Aberdeen, between its junctions with Wellington Street and Garvock Wynd. There will be no waiting on either side of the same stretch of road. Also there will be a temporary prohibition of driving on Wellington Street, Aberdeen, between its junctions with Links Road and York Street. There will be no waiting on either side of the same stretch of road. And also there will be a temporary prohibition of driving on Garvock Wynd. Aberdeen, between its junctions with Miller Street and Links Place. There will be no waiting on either side of the same stretch of road.   Access to properties will be maintained, but no through traffic will be possible.  The measure is necessary to protect public safety during SGN gas mains renewal works.. An alternative route is available via York Street, Esplanade and Links Road.","2016-06-06 07:30","2016-07-24 23:00","57.1382847985787810","-2.0798189525949731","Road Closed","2016-05-23 16:21:13  "
"Stoneywood Road, Bucksburn (TrafficOrderNumber:2016/146/TL)  : Temporary traffic signals for use during Scottish Water ironworks, north of the junction with Stoneywood Terrace. Operational 0930-1530.. ","2016-07-24 09:30","2016-07-24 15:30","57.1938366682090020","-2.1820846110811907","RoadWorks","2016-05-18 15:38:47  "
"U133C Culter House Road (TrafficOrderNumber:5528b)  : Aberdeen City Council has made the above-named order in terms of its powers under Section 14(1) of the Road Traffic Regulation Act 1984.     The effect of the order, which will operate from 06:00 on 14 May, 2016, until 24:00 on 13 November, 2016, is to impose a temporary 7.5 Tonne Weight Restriction on U133C Culter House Road, Aberdeen, between its junction with Bucklerburn Road and the Telephone Exchange at Number 42 Culter House Road.  Aberdeen City Council vehicles and holders of permit letters issued by Aberdeen City Council will be exempt.  The measures are necessary to protect damaged carriageways.. ","2016-05-14 06:00","2016-11-13 23:59","57.1055373072583950","-2.2568933402642828","RoadWorks","2016-05-13 17:05:09  "
